t		x	y	z	Vx	Vy	Vz		x	y	z	Vx	Vy	Vz
9300		-229998845.9	-279999300.6	-69999527.84	0.250425911	0.150869632	0.103195056		84556191.77	-93776844.41	62401622.72	479.6453772	-412.2626866	791.6123039
9360		-229998830.8	-279999291.6	-69999521.65	0.252053339	0.1518331	0.103880066		84584970.49	-93801580.17	62449119.45	479.5130998	-412.3409972	791.5566263
9420		-229998815.7	-279999282.5	-69999515.41	0.253680916	0.15279644	0.104565322		84613741.27	-93826320.63	62496612.85	479.3808104	-412.4192975	791.5009287
9480		-229998800.5	-279999273.3	-69999509.14	0.255308641	0.153759651	0.105250823		84642504.12	-93851065.79	62544102.91	479.2485088	-412.4975873	791.4452111
9540		-229998785.2	-279999264.1	-69999502.83	0.256936515	0.154722735	0.10593657		84671259.03	-93875815.64	62591589.62	479.1161952	-412.5758668	791.3894736
9600		-229998769.8	-279999254.8	-69999496.47	0.258564538	0.15568569	0.106622562		84700006	-93900570.2	62639072.99	478.9838695	-412.6541358	791.3337161
9660		-229998754.2	-279999245.5	-69999490.07	0.260192709	0.156648517	0.107308801		84728745.04	-93925329.44	62686553.01	478.8515317	-412.7323944	791.2779387
9720		-229998738.6	-279999236.1	-69999483.63	0.261821029	0.157611216	0.107995285		84757476.13	-93950093.39	62734029.69	478.7191818	-412.8106426	791.2221412
9780		-229998722.9	-279999226.6	-69999477.15	0.263449498	0.158573787	0.108682014		84786199.28	-93974862.03	62781503.02	478.5868198	-412.8888804	791.1663239
9840		-229998707.1	-279999217.1	-69999470.63	0.265078115	0.15953623	0.109368989		84814914.49	-93999635.36	62828973	478.4544458	-412.9671078	791.1104865
9900		-229998691.2	-279999207.5	-69999464.07	0.266706881	0.160498545	0.11005621		84843621.76	-94024413.39	62876439.62	478.3220597	-413.0453247	791.0546292
9960		-229998675.2	-279999197.9	-69999457.47	0.268335795	0.161460731	0.110743676		84872321.08	-94049196.11	62923902.9	478.1896615	-413.1235312	790.998752
10020		-229998659.1	-279999188.2	-69999450.82	0.269964857	0.162422789	0.111431387		84901012.46	-94073983.52	62971362.83	478.0572513	-413.2017273	790.9428547
10080		-229998642.9	-279999178.4	-69999444.14	0.271594068	0.163384719	0.112119345		84929695.89	-94098775.62	63018819.4	477.924829	-413.279913	790.8869376
10140		-229998626.6	-279999168.6	-69999437.41	0.273223427	0.16434652	0.112807547		84958371.38	-94123572.42	63066272.62	477.7923947	-413.3580882	790.8310004
10200		-229998610.2	-279999158.8	-69999430.64	0.274852934	0.165308193	0.113495995		84987038.93	-94148373.9	63113722.48	477.6599483	-413.436253	790.7750434
